title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
My First Errand,SHOW,1991,TV-G,19,['reality'],['JP'],12.0,,,
3 Ninjas Kick Back,MOVIE,1994,PG,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",,tt15327306,4.5,9208.0
In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'action', 'crime']",['US'],,tt0107206,7.2,101939.0
The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],,tt0191397,6.6,64087.0
Johnny Mnemonic,MOVIE,1995,R,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",,tt0113481,5.6,71062.0
Little Women,MOVIE,1994,PG,115,"['drama', 'family', 'romance']",['US'],,tt0110367,7.3,57621.0
Anaconda,MOVIE,1997,PG-13,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",,tt0118615,4.8,103459.0
My Girl,MOVIE,1991,PG,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],,tt0102492,6.9,79800.0
Cliffhanger,MOVIE,1993,R,112,"['thriller', 'action', 'animation']","['IT', 'US', 'FR']",,tt0106582,6.5,128179.0
I Know What You Did Last Summer,MOVIE,1997,R,101,"['horror', 'thriller']",['US'],,tt0119345,5.7,142696.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,"['scifi', 'action', 'comedy', 'family']","['US', 'HK']",,tt0103060,6.0,55499.0
Barney & Friends,SHOW,1992,TV-G,28,['family'],['US'],14.0,tt0144701,3.8,9955.0
Hollow Man,MOVIE,2000,R,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",,tt0164052,5.8,130099.0
Godzilla,MOVIE,1998,PG-13,133,"['thriller', 'scifi', 'action']",['US'],,tt0120685,5.4,191722.0
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],,tt0169858,8.0,51938.0
Spawn,MOVIE,1997,PG-13,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",['US'],,tt0120177,5.2,67761.0
Dennis the Menace,MOVIE,1993,PG,95,"['comedy', 'family']",['US'],,tt0106701,5.6,60779.0
The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],,tt0113957,5.9,66127.0
The Devil's Own,MOVIE,1997,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],,tt0962637,6.2,64625.0
Croupier,MOVIE,1998,R,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",,tt0159382,7.0,21382.0
Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",,tt0108308,4.7,33128.0
The General's Daughter,MOVIE,1999,R,116,"['drama', 'crime', 'thriller']","['US', 'DE']",,tt0144214,6.4,58726.0
The Next Karate Kid,MOVIE,1994,PG,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],,tt0110657,4.5,30138.0
I Still Know What You Did Last Summer,MOVIE,1998,R,100,"['thriller', 'horror']",['US'],,tt0130018,4.7,73269.0
Double Team,MOVIE,1997,R,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",,tt0119013,4.7,34127.0
Under Suspicion,MOVIE,2000,R,110,"['thriller', 'crime', 'drama', 'european']",['US'],,tt0164212,6.5,25432.0
Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,tt0115275,5.7,3713.0
"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,tt0108927,6.2,12535.0
Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0,4936.0
Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'drama', 'history']",['US'],,tt0107004,6.5,11506.0
The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"['romance', 'comedy', 'drama']",['US'],,tt0117057,6.6,19829.0
Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],8.0,tt0247102,7.2,4482.0
Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],,,,
Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],,tt0102227,4.5,3178.0
The Last Days,MOVIE,1998,PG-13,87,"['drama', 'documentation', 'war']",['US'],,tt0174852,7.9,4247.0
The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],5.0,tt0200353,6.8,2346.0
Heavy,MOVIE,1995,R,105,"['romance', 'drama']",['US'],,tt0113280,6.8,4921.0
Bill Hicks: Revelations,MOVIE,1993,,74,"['comedy', 'documentation']",['GB'],,tt0152183,8.5,3085.0
Sankofa,MOVIE,1993,,124,"['drama', 'european']","['GH', 'GB', 'US', 'BF', 'DE']",,tt0108041,7.0,678.0
Bill Hicks: Relentless,MOVIE,1992,,61,['comedy'],['GB'],,,,
Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],['GB'],8.0,tt0962853,7.1,39.0
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],,tt0500140,7.9,5834.0
Children of God,MOVIE,1994,,63,['documentation'],['GB'],,tt6051792,6.4,589.0
Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['AR', 'ES']",,tt0108291,6.7,1564.0
Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['drama', 'romance', 'comedy']",['IN'],,tt0172684,7.6,51640.0
Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,tt0213363,7.4,4185.0
H,SHOW,1998,TV-MA,25,['comedy'],['FR'],4.0,tt0173554,7.4,1703.0
Herod's Law,MOVIE,1999,R,120,"['drama', 'comedy', 'crime']",['MX'],,tt0221344,7.8,5943.0
Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],,tt0294967,5.9,195.0
Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.0,tt0108800,7.8,3106.0
Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],,tt0164538,7.5,28409.0
Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],1.0,,,
Aashik Aawara,MOVIE,1993,,153,"['romance', 'comedy', 'drama']",['IN'],,tt0106206,4.7,320.0
Destiny,MOVIE,1997,,136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",,tt0119629,7.1,2825.0
Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,['comedy'],['IN'],,tt0114031,4.0,1678.0
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,100,"['drama', 'sport']",['US'],,tt0103123,7.2,248.0
Bombay,MOVIE,1995,,141,"['romance', 'drama']",['IN'],,tt0112553,8.1,12512.0
West Beirut,MOVIE,1998,PG-13,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",,tt0157183,7.6,4175.0
Muthu,MOVIE,1995,G,165,"['drama', 'comedy', 'romance', 'action']",['IN'],,tt0140399,7.6,3056.0
Qila,MOVIE,1998,,160,"['drama', 'music', 'family']",['IN'],,tt0286907,4.8,129.0
Ram Jaane,MOVIE,1995,,172,"['action', 'drama', 'romance', 'crime']",['IN'],,tt0114231,5.4,3901.0
Chamatkar,MOVIE,1992,G,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],,tt0126234,6.5,6199.0
Soldier,MOVIE,1998,,156,"['thriller', 'action', 'drama', 'romance']",['IN'],,tt0211634,6.2,3025.0
Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],1.0,tt0289649,9.0,2326.0
Hum Saath Saath Hain,MOVIE,1999,G,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],,tt0216817,6.2,8454.0
Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,"['comedy', 'drama', 'music', 'romance']",['IN'],,tt0110222,7.6,18224.0
Nightmare in Columbia County,MOVIE,1991,,100,"['drama', 'crime', 'thriller']",['US'],,tt0102537,5.5,341.0
Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],,tt0222270,6.1,7556.0
Sam Kinison: Family Entertainment Hour,MOVIE,1991,,49,['comedy'],['US'],,,,
Jeans,MOVIE,1998,,175,"['drama', 'romance', 'comedy']",['IN'],,tt0151121,6.4,3567.0
Chaahat,MOVIE,1996,G,155,"['drama', 'romance']",['IN'],,tt0172234,5.5,2837.0
Hum Aapke Hain Koun..!,MOVIE,1994,,206,"['romance', 'comedy', 'drama']",['IN'],,tt0110076,7.5,20986.0
Maya Memsaab,MOVIE,1993,PG-13,126,"['romance', 'drama', 'thriller']",['IN'],,tt0137100,5.4,2177.0
Out of Life,MOVIE,1991,,97,"['war', 'drama', 'crime', 'european']","['IT', 'LB', 'BE', 'FR']",,tt0102058,6.9,365.0
Duplicate,MOVIE,1998,PG,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],,tt0164550,5.5,7557.0
Govindha Govindha,MOVIE,1993,,145,"['drama', 'action', 'crime']",['IN'],,tt0192087,6.6,351.0
Damini,MOVIE,1993,,180,"['drama', 'crime']",['IN'],,tt0106655,7.8,3490.0
English Babu Desi Mem,MOVIE,1996,PG,172,"['romance', 'comedy', 'drama']",['IN'],,tt0136153,4.5,2322.0
Before the Flying Circus,MOVIE,2000,,55,"['comedy', 'documentation']",['GB'],,tt9230920,7.3,161.0
Sam Kinison: Live in Vegas,MOVIE,1991,,72,"['comedy', 'music', 'documentation']",['US'],,tt0249934,6.6,272.0
Anjaam,MOVIE,1994,,146,"['thriller', 'romance', 'drama']",['IN'],,tt0109134,6.6,6465.0
Mann,MOVIE,1999,,174,"['drama', 'romance']",['IN'],,tt0206921,6.1,5413.0
Monty Python: Live at Aspen,MOVIE,1998,,58,"['comedy', 'documentation']","['US', 'GB']",,tt0287570,7.8,1092.0
Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,"['comedy', 'documentation']",['US'],,tt0938331,7.8,166.0
The Other,MOVIE,1999,,106,"['drama', 'european', 'romance']","['EG', 'FR']",,tt0196355,5.9,987.0
Sinbad: Son of a Preacher Man,MOVIE,1996,,56,"['comedy', 'documentation']",['US'],,tt0938333,6.7,115.0
Children of Shatila,MOVIE,1999,,50,"['documentation', 'history']",['LB'],,tt0243174,8.2,74.0
Gumrah,MOVIE,1993,,149,"['action', 'crime', 'drama', 'thriller']",['IN'],,tt0107060,6.1,784.0
The Emigrant,MOVIE,1994,,129,['drama'],"['EG', 'FR']",,tt0110545,6.5,998.0
Yodha,MOVIE,1991,,142,"['drama', 'action']",['IN'],,tt0267130,4.5,198.0
Avvai Shanmugi,MOVIE,1996,PG-13,160,"['drama', 'comedy']",['IN'],,tt0139872,7.9,2528.0
